SKU,Megnevezés,Auchan,Tesco,Egyéb,Power Life,Power Life,VL Euro,VL Euro,Genoxy Eladási ár db.,Genoxy Eladási ár karton,karton db
1,"Apenta + 0,75l(Focus;Antiox;Fit)",,,206,189,1134/6,,,205,1230,6
2,"Power Fruit 0,75l",379,,265,240,1440/6,,,260,1560,6
3,"Power Art 0,75l",379,,265,240,1440/6,,,260,1560,6
4,Absolute Live 1l,,,339,310,1860/6,,,335,2010,6
5,Absolute Live Fat Burner 1l,,,419,330,1980/6,,,400,2400,6
6,"Absolute Live Fat Burner 0,5l",,,,240,2880/12,,,250,3000,12
7,"Absolute Live 0,5l",,,235,210,2520/12,,,250,3000,12
8,"Gatorade 0,5l",239/199,239,210,185,2220/12,,,210,2520,12
9,"Real Fitt No1 0,8l",,,213,210,1260/6,,,220,1320,6
10,"Pepsi 2,5l",419,293,,,,326,2608/8,,,
11,"Pepsi 2,25l",339,,,309,2472/8,,,,,
12,"Pepsi 1,75l",338/279,335/279,299,,,267,2136/8,295,2360,8
13,Pepsi 1l,309,,,209,3135/15,,,240,3600,15
14,"Pepsi 0,5l",229,229,,185,2220/12,199,,215,2580,12
15,"Pepsi dobozos 0,33l",189,189,,,,110,2640/24,140,3360,24
16,"7UP 2,5L",,,,,,332,2656/8,,,
17,"7UP 2,25l",349,,,309,2472/8,,,329,2632,8
18,"7UP 0,5L",229,229,,185,2220/15,,,215,3225,15
19,"7UP 0,33L",,189,,,,110,2640/24,140,3360,24
20,"Mirinda 2,25l",369,,,309,2472/8,,,329,2632,8
21,"Mirinda 0,5l",229,229,,185,2220/15,,,215,3225,15
22,"Canada Dry 1,5l",335,,299,289,2312/8,305,,299,2392,8
23,"Canada Dry 0,5l",229,229,,185,2220/15,199,,215,3225,15
24,"Schweppes 1,5l",335,335/299,,289,2312/8,305,,299,2392,8
25,"Schweppes 0,5l",229,229,,185,2220/15,,,215,3225,15
26,"Márka 0,5l",,,,125,1500/12,,,,,
27,"Márka Ice Tea 1,5l",,,,,,164,984/6,,,
28,"Márka Limonádé 1,5l",169,,,,,147,882/6,,,
29,Márka 2l(Cola;Málna;Narancs),239/169,239,,,,147,882/6,,,
30,"Nature Zitrone 0,5l(Mango-citrom,Citrom,Grapefruit)",,249,,209,1254/6,,,239,1434,6
31,"Dobozos 0,33l(Pepsi,Pepsi Black,Schweppes Narancs,Dr.Pepper,Canada Dry,7 Up,Pepsi Black Lime,Black Cherry)",,,109,119,2856/24,110,2640/24,140,3360,24
32,"Frutta Max Prémium szörp 0,5l (Eper,Barack,Meggy,Narancs,Málna,Bodza,Gránátalma,Citrom-lime,Feketeribizli,Áfonya)",,,650,569,4552/8,,,630,5040,8
33,"Frutta Max Light Prémium szörp 0,5l ( Eper,Málna,Narancs,Citrom-lime)",,,650,569,4552/8,,,630,5040,8
34,"Rauch Bravo 1,5l ( Green Apple,Sunny Orange,Sunny Strawberry,Multivitamin)",389,389,,289,1734/6,,,359,2154,6
35,"Rauch Bravo 0,5l (Green Apple,Sunny Orange,Sunny Strawberry,Multivitamin)",,239,,179,2148/12,,,219,2628,12
36,"Rauch My Tea 1,5l (Citrom,Őszibarack,Zöld,Dinnye,Fekete szeder,Red Berries,Green Berries)",339,339/299,,249,1494/6,,,289,1734,6
37,"Rauch My Tea 0,5l (Citrom,Ősszibarack,Zöld,Dinnye,Fekete szeder,Red Berries,Green Berries)",199,,,159,1908/12,,,179,2148,12
38,Magyar Nektár 1l,,,,339,2034/6,266,1596/6,,,
39,"Toma 1l (Narancs 100 %,Alma 100 %, Ananász,Eper)",,,,309,3078/12,,,,,
40,"Toma 0,5l",,,,185,2220/12,,,,,
41,"Toma 0,33l",,,,185,2200/12,,,,,
42,"Garden Fruit 0,5l (Fekete ribizli;Piros ribizli;Alma-Eper)",,,329,270,3240/12,,,299,3588,12
43,"Garden Fruit 0,5l (Alma-Ananász;Alma-Homoktövis;Narancs)",,,376,345,4140/12,,,365,4380,12
44,"Garden Fruit 0,5l (Sárgabarack;Meggy)",,,329,260,3120/12,,,299,3588,12
45,"Garden Fruit 0,5l (Alma)",,,329,250,3000/12,,,299,3588,12
46,"Garden Fruit 0,5l (Körte;Őszibarack)",,,329,255,3060/12,,,299,3588,12
47,"Sió Citrus Friss 0,5l (Grapefruit;Lime-citrom,Narancs)",,,269,219,2628/12,,,249,2988,12
48,"Sió 0,5l(Citrus-limonádé,Bodzás-limonádé,Multivitamin)",,,259,199,2388/12,,,239,2868,12
49,"Sió Vitatigris 0,33l(Alma-málna,Alma-szőlő)",225,,219,189,2268/12,,,209,2508,12
50,"Sió Vitatigris 0,2l(Alma,Szőlő,Őszibarack,Narancs,Piros,Rostos,Sárga)",99,99/79,,79,2133/27,,,89,2430,27
51,"Sió Frissen Préselt 0,2l(Alma-meggy,Alma-mangó-maracuja)",229,,,174,1740/10,,,205,2050,10
52,Top Joy üdítő 1 l ALMA-GRAPEFR.-SZŐLŐ-G.ALMA 25%,,,,,,266,3192/12,296,3552,12
53,Top Joy üdítő 1 l ALMA-GÖRÖGDINNYE 20%,,389,,,,266,3192/12,296,3552,12
54,Top Joy üdítő 1 l NAR.-ALMA-ANAN.-CSILLAGÁN. 25%,,,,,,239,2868/12,269,3228,12
55,"Top Joy 0,4l(Guava,Mangó,Kaktusz,Pomelo)",245,,184,169,2028/12,,,189,2268,12
